Reach_ID,From_RKM,To_RKM,From_RM,To_RM,Shape_Leng,Strm_Name
GR_03_NF,9.20,14.10,5.70,8.80,4900.052606059999562,North Fork Walla Walla River
GR_05_NF,18.30,19.20,11.40,11.90,900.018310257000053,North Fork Walla Walla River
GR_04_NF,14.10,18.30,8.80,11.40,4199.937960719999865,North Fork Walla Walla River
GR_02_NF,5.70,9.20,3.50,5.70,3499.975507780000044,North Fork Walla Walla River
GR_01_NF,0.00,5.70,0.00,3.50,5700.000604650000241,North Fork Walla Walla River
GR_05_SF,28.50,32.80,17.70,20.40,4299.939329130000260,South Fork Walla Walla River
GR_04_SF,24.60,28.50,15.30,17.70,3900.060175909999998,South Fork Walla Walla River
GR_02_SF,13.30,20.80,8.30,12.90,7499.968290730000263,South Fork Walla Walla River
GR_03_SF,20.80,24.60,12.90,15.30,3800.021439829999963,South Fork Walla Walla River
GR_01_SF,0.00,13.30,0.00,8.30,13299.994424500000605,South Fork Walla Walla River
GR_05_MS,77.90,82.60,48.40,51.30,4699.157089420000375,Walla Walla River
GR_04_MS,72.80,77.90,45.20,48.40,5099.998305619999883,Walla Walla River
GR_03_MS,68.70,72.80,42.70,45.20,4100.017627610000090,Walla Walla River
GR_02_MS,57.20,68.70,35.50,42.70,11499.974168799999461,Walla Walla River
GR_01_MS,44.10,57.20,27.40,35.50,13100.017800100000386,Walla Walla River
