ID,area_m2,WUA,HHS,d_HSI,v_HSI,scenario,year
RKM_01_MS,14937,9039.116041415647,0.6051493634207437,0.7545951192709364,0.6094384879686374,sthd_juv,2019
RKM_01_NF,8200,5283.212614769847,0.644294221313396,0.5533137711696611,0.8929034634625937,sthd_juv,2019
RKM_01_SF,14158,3549.0585642918013,0.2506751352091963,0.7350348963140799,0.3161938772789299,sthd_juv,2019
RKM_02_MS,12927,8510.288400875383,0.6583343699911335,0.7618769815874719,0.7179548156520492,sthd_juv,2019
RKM_02_NF,8230,4945.568067285378,0.6009195707515648,0.4955980533330542,0.8653961187883759,sthd_juv,2019
RKM_02_SF,16438,4522.620793696144,0.2751320594778041,0.6953038797356851,0.3517501863954409,sthd_juv,2019
RKM_03_MS,13660,10685.533812435664,0.7822499130626401,0.7697979445414451,0.8570554783753568,sthd_juv,2019
RKM_03_NF,6490,4332.918449153018,0.667629961348693,0.5438683442027381,0.9277626721398571,sthd_juv,2019
RKM_03_SF,12797,3147.99978087208,0.2459951379910979,0.7779116243745666,0.2889215811475901,sthd_juv,2019
RKM_04_MS,12523,9332.202716644617,0.7452050400578629,0.7569755813759519,0.82936209865039,sthd_juv,2019
RKM_04_NF,7368,4623.303892934695,0.6274842417120922,0.4674502689640448,0.9443670692381048,sthd_juv,2019
RKM_04_SF,12788,2741.709267018732,0.21439703370493682,0.7682475006000228,0.2636350946559703,sthd_juv,2019
RKM_05_MS,16738,11180.845718998671,0.667991738499144,0.6937267112726558,0.7658134971173262,sthd_juv,2019
RKM_05_NF,6278,3922.219698927918,0.624756243855992,0.48863856149338186,0.9134308492657109,sthd_juv,2019
RKM_05_SF,14559,3496.1728392942605,0.24013825395248717,0.7314800646985301,0.3169373942895683,sthd_juv,2019
RKM_06_MS,13596,10709.803471461899,0.7877172309107016,0.7837517287621341,0.8557420269328103,sthd_juv,2019
RKM_06_NF,6795,4057.457067226991,0.5971239245367168,0.46626308617542545,0.8805807435324667,sthd_juv,2019
RKM_06_SF,13772,3691.435246311201,0.2680391552651177,0.6987293363153246,0.3493104361628287,sthd_juv,2019
RKM_07_MS,16528,11446.226109804926,0.6925354616290492,0.7177721700917161,0.780328491879746,sthd_juv,2019
RKM_07_NF,6779,3751.757477535877,0.5534381881598874,0.44325132441603504,0.8229876474904178,sthd_juv,2019
RKM_07_SF,13014,2807.0766778185207,0.2156966864775258,0.7743306549242222,0.2724315892467719,sthd_juv,2019
RKM_08_MS,15260,11480.718831884704,0.7523406836097447,0.7358858187815057,0.8456509939421792,sthd_juv,2019
RKM_08_NF,8076,4007.2457102896587,0.49619189082338516,0.40191258518904016,0.7430748486774298,sthd_juv,2019
RKM_08_SF,13201,3023.600742145907,0.22904331051783253,0.7608176431387829,0.2921768045611778,sthd_juv,2019
RKM_09_MS,15908,11660.09085969456,0.7329702577127583,0.7286218669286029,0.8150590517877898,sthd_juv,2019
RKM_09_NF,7537,3781.301570503354,0.5016984968161542,0.42154819321461173,0.7596849474743935,sthd_juv,2019
RKM_09_SF,14104,2833.345892049023,0.20088952722979458,0.7597468372173747,0.27031601615298617,sthd_juv,2019
RKM_10_MS,13377,10918.706047968502,0.8162298009993647,0.7790828707884228,0.9014697096532654,sthd_juv,2019
RKM_10_NF,6752,3596.141257324256,0.5326038592008673,0.4142776024180257,0.8198253145717607,sthd_juv,2019
RKM_10_SF,18882,6744.225818471146,0.3571775139535614,0.699767210879409,0.4505426231321994,sthd_juv,2019
RKM_11_MS,9712,7042.300265698519,0.7251132893017421,0.7272683406667794,0.8014539671730561,sthd_juv,2019
