ID,area_m2,WUA,HHS,d_HSI,v_HSI,watershed,scenario,year,scale
NF1,2077,514.9507813040592,0.24793008247667753,0.13953367497054328,0.68940296189273,nf,chnk_juv,2021,rkm
NF10,6991,1913.778937605289,0.27374895402736216,0.13643508339544816,0.9287797122462595,nf,chnk_juv,2021,rkm
NF11,7623,1925.5177228434734,0.2525931684170895,0.11427774815134656,0.9446594157643308,nf,chnk_juv,2021,rkm
NF12,7379,1705.1636176817196,0.23108329281497758,0.09819398596262541,0.9455425228067951,nf,chnk_juv,2021,rkm
NF13,6595,1776.0514550837643,0.26930272252975956,0.12756470503777423,0.9307925073575861,nf,chnk_juv,2021,rkm
NF14,6789,1582.3495278115947,0.23307549385941886,0.09466097649723042,0.9361378134790936,nf,chnk_juv,2021,rkm
NF15,6167,1299.0185537822142,0.21064027140947206,0.08227580842039314,0.9498814981897568,nf,chnk_juv,2021,rkm
NF16,6239,1338.7544750138582,0.2145783739403523,0.0837661786815107,0.9489631339312041,nf,chnk_juv,2021,rkm
NF17,5667,1273.259561251533,0.2246796473004293,0.08826699308035592,0.9368555243810351,nf,chnk_juv,2021,rkm
NF18,5392,1355.6795776125734,0.25142425400826657,0.10843630801350851,0.9373175382435167,nf,chnk_juv,2021,rkm
NF19,1734,415.832756911536,0.23981127849569553,0.09366315523387377,0.9466855531108904,nf,chnk_juv,2021,rkm
NF2,8098,2158.4480345697352,0.26654087855887076,0.16373880841986987,0.7063701501555976,nf,chnk_juv,2021,rkm
NF3,7047,1663.361832438515,0.23603829039854052,0.137579694964183,0.6735949653467539,nf,chnk_juv,2021,rkm
NF4,7193,1786.0817406115077,0.24830831928423575,0.139523080439669,0.7388868916200361,nf,chnk_juv,2021,rkm
NF5,6647,1618.7177178477398,0.24352605955284184,0.135168051384825,0.7819047755435945,nf,chnk_juv,2021,rkm
NF6,9031,2304.921165672781,0.25522324943780106,0.12067281330080341,0.8874558710064386,nf,chnk_juv,2021,rkm
NF7,8039,1884.9406229886642,0.2344745146148357,0.09822411681923912,0.9210452240159688,nf,chnk_juv,2021,rkm
NF8,7734,1933.068471241512,0.2499442036774647,0.1166553603253933,0.9182775710245983,nf,chnk_juv,2021,rkm
NF9,7800,2156.7032618436897,0.2765004181850884,0.1362176427299304,0.922752249812964,nf,chnk_juv,2021,rkm
