ID,area_m2,WUA,HHS,d_HSI,v_HSI,watershed,scenario,year,scale
NF1,2077,934.7260346225182,0.4500366079068456,0.4033547604145313,0.5757543829131081,nf,chnk_spw,2021,rkm
NF10,6991,680.5063120691108,0.09734033930326287,0.34485476238003554,0.0988584859849685,nf,chnk_spw,2021,rkm
NF11,7623,581.352464644629,0.07626294957951318,0.304777363357634,0.07678922823405784,nf,chnk_spw,2021,rkm
NF12,7379,560.9288739594148,0.07601692288378029,0.2745303662557689,0.07292048758145779,nf,chnk_spw,2021,rkm
NF13,6595,628.1931805761769,0.09525294625870764,0.33358240381710813,0.09918821300956902,nf,chnk_spw,2021,rkm
NF14,6789,588.3479101632233,0.08666193992682623,0.2776935341446613,0.09239524572977421,nf,chnk_spw,2021,rkm
NF15,6167,263.31990106179364,0.04269821648480519,0.23764955721156653,0.05930839222772656,nf,chnk_spw,2021,rkm
NF16,6239,337.8842058052044,0.054156788877256674,0.24074880249199532,0.06505168652411651,nf,chnk_spw,2021,rkm
NF17,5667,406.4288271758323,0.07171851547129562,0.2547246668979692,0.09404178169469803,nf,chnk_spw,2021,rkm
NF18,5392,353.6735222571118,0.06559227044827741,0.29688874045352204,0.09266957365564217,nf,chnk_spw,2021,rkm
NF19,1734,102.98798547839235,0.059393301890653026,0.28011689991318506,0.07430044146605533,nf,chnk_spw,2021,rkm
NF2,8098,3261.437912812025,0.40274609938404854,0.4410893347165708,0.5082084312117447,nf,chnk_spw,2021,rkm
NF3,7047,3048.2013325705857,0.43255304847035414,0.39976655397725075,0.5708539041594234,nf,chnk_spw,2021,rkm
NF4,7193,2596.225129053096,0.3609377351665642,0.3886838933199317,0.4566087031277087,nf,chnk_spw,2021,rkm
NF5,6647,1930.1813824163544,0.2903838396895373,0.3643078700981984,0.3681285808889563,nf,chnk_spw,2021,rkm
NF6,9031,1615.8377328931492,0.178921241600393,0.3352195500539105,0.19197484763274575,nf,chnk_spw,2021,rkm
NF7,8039,992.4641002391611,0.12345616373170308,0.28325725510302197,0.12118357833419563,nf,chnk_spw,2021,rkm
NF8,7734,907.7350118333635,0.117369409339716,0.3197948428291852,0.12320561713738931,nf,chnk_spw,2021,rkm
NF9,7800,865.3783996845285,0.11094594867750365,0.352392449578701,0.11555789183459508,nf,chnk_spw,2021,rkm
