ID,area_m2,WUA,HHS,d_HSI,v_HSI,watershed,scenario,year,scale
NF1,2077,1340.604579,0.645452373,0.491718598,0.956008381,sf,chnk_spw,2019,rkm
NF10,6991,3426.985236,0.490199576,0.419824405,0.728624177,sf,chnk_spw,2019,rkm
NF11,7623,3732.490209,0.489635342,0.385091316,0.765009354,sf,chnk_spw,2019,rkm
NF12,7379,3538.11057,0.479483747,0.355602583,0.786881892,sf,chnk_spw,2019,rkm
NF13,6595,3337.45067,0.506057721,0.411723599,0.777279954,sf,chnk_spw,2019,rkm
NF14,6789,3372.862059,0.496812794,0.357059115,0.819859633,sf,chnk_spw,2019,rkm
NF15,6167,2676.303721,0.43397174,0.31723603,0.75714752,sf,chnk_spw,2019,rkm
NF16,6239,2813.486465,0.450951509,0.319941691,0.795075359,sf,chnk_spw,2019,rkm
NF17,5667,2724.893005,0.480835187,0.333716754,0.84318595,sf,chnk_spw,2019,rkm
NF18,5392,2602.417686,0.48264423,0.372950404,0.792294938,sf,chnk_spw,2019,rkm
NF19,1734,853.750263,0.49235886,0.359421965,0.821289828,sf,chnk_spw,2019,rkm
NF2,8098,5134.864215,0.634090419,0.511670472,0.905105971,sf,chnk_spw,2019,rkm
NF3,7047,4360.786009,0.618814532,0.476544546,0.929674558,sf,chnk_spw,2019,rkm
NF4,7193,4381.565696,0.609143014,0.470503628,0.917864333,sf,chnk_spw,2019,rkm
NF5,6647,3704.530913,0.557323742,0.443741468,0.843497379,sf,chnk_spw,2019,rkm
NF6,9031,4859.402112,0.538080181,0.418980202,0.82624554,sf,chnk_spw,2019,rkm
NF7,8039,3981.206144,0.49523649,0.371576039,0.796057981,sf,chnk_spw,2019,rkm
NF8,7734,3805.738526,0.492078941,0.396935527,0.746605027,sf,chnk_spw,2019,rkm
NF9,7800,3996.52557,0.512375073,0.429169466,0.776698344,sf,chnk_spw,2019,rkm
SF1,1876,1478.452941,0.788087922,0.757355804,0.922976363,sf,chnk_spw,2019,rkm
SF10,18766,12633.82135,0.673229316,0.660585381,0.81806351,sf,chnk_spw,2019,rkm
SF11,13736,9933.148447,0.723147091,0.712266364,0.866119077,sf,chnk_spw,2019,rkm
SF12,13198,10312.18932,0.781344849,0.738997334,0.9273145,sf,chnk_spw,2019,rkm
SF13,13101,9916.317407,0.756913015,0.725357882,0.913210166,sf,chnk_spw,2019,rkm
SF14,11770,9197.916551,0.781471245,0.753720038,0.914534591,sf,chnk_spw,2019,rkm
SF15,13724,10055.66887,0.732706855,0.676381412,0.908899453,sf,chnk_spw,2019,rkm
SF16,11996,8983.027692,0.748835253,0.704219588,0.910967694,sf,chnk_spw,2019,rkm
SF17,13468,9510.740978,0.706173224,0.652246762,0.892908869,sf,chnk_spw,2019,rkm
SF18,14116,9309.372899,0.659490854,0.63922947,0.83839604,sf,chnk_spw,2019,rkm
SF19,14079,10076.191,0.715689395,0.667327738,0.889358078,sf,chnk_spw,2019,rkm
SF2,15284,10328.76244,0.67578922,0.685167543,0.815624437,sf,chnk_spw,2019,rkm
SF20,14239,9573.84792,0.672367998,0.646567055,0.83882087,sf,chnk_spw,2019,rkm
SF21,12814,8619.190932,0.672638593,0.648599997,0.833994308,sf,chnk_spw,2019,rkm
SF22,14935,8822.764711,0.590744206,0.579498606,0.777437691,sf,chnk_spw,2019,rkm
SF23,12660,8335.725637,0.658430145,0.601328809,0.862396378,sf,chnk_spw,2019,rkm
SF24,9643,6792.779293,0.704425935,0.662110131,0.874883299,sf,chnk_spw,2019,rkm
SF25,11841,8013.294667,0.676741379,0.634358554,0.858957495,sf,chnk_spw,2019,rkm
SF26,11465,7685.956174,0.670384315,0.616412548,0.877033184,sf,chnk_spw,2019,rkm
SF27,10382,6737.996892,0.649007599,0.612438526,0.838163344,sf,chnk_spw,2019,rkm
SF28,11931,7456.552086,0.624972935,0.559075427,0.84940885,sf,chnk_spw,2019,rkm
SF29,10214,6129.322724,0.600090339,0.555617976,0.817987798,sf,chnk_spw,2019,rkm
SF3,12099,9566.352873,0.79067302,0.774924295,0.903074136,sf,chnk_spw,2019,rkm
SF30,7877,5478.509505,0.69550711,0.62008976,0.914607699,sf,chnk_spw,2019,rkm
SF31,8000,5739.656052,0.717457006,0.635846256,0.933606988,sf,chnk_spw,2019,rkm
SF32,8346,5752.157461,0.689211294,0.648480668,0.880538965,sf,chnk_spw,2019,rkm
SF33,6035,4261.298403,0.706097498,0.623938287,0.941385723,sf,chnk_spw,2019,rkm
SF4,12324,9660.190867,0.783851904,0.75702203,0.917009949,sf,chnk_spw,2019,rkm
SF5,14554,9854.119322,0.677072923,0.700572777,0.814702987,sf,chnk_spw,2019,rkm
SF6,14076,9210.966007,0.654373828,0.663424587,0.789350266,sf,chnk_spw,2019,rkm
SF7,13014,10185.08423,0.782625191,0.748248665,0.919145093,sf,chnk_spw,2019,rkm
SF8,13201,10032.87691,0.760008856,0.736681907,0.890091132,sf,chnk_spw,2019,rkm
SF9,14229,10733.11777,0.754312866,0.734937884,0.865032739,sf,chnk_spw,2019,rkm
