ID,area_m2,WUA,HHS,d_HSI,v_HSI,watershed,scenario,year,scale
NF1,2077,1340.6045785645238,0.6454523729246624,0.49171859839948595,0.9560083811430647,sf,chnk_spw,2021,geo
NF10,6991,3426.985236442851,0.49019957608966547,0.41982440546205196,0.7286241773923312,sf,chnk_spw,2021,geo
NF11,7623,3732.490208897667,0.4896353415843719,0.3850913156132333,0.7650093539326072,sf,chnk_spw,2021,geo
NF12,7379,3538.1105702009436,0.4794837471474378,0.3556025833851568,0.78688189240368,sf,chnk_spw,2021,geo
NF13,6595,3337.4506700236457,0.5060577210043435,0.41172359911776196,0.7772799538881594,sf,chnk_spw,2021,geo
NF14,6789,3372.862059199463,0.49681279410803697,0.35705911509128535,0.8198596330701426,sf,chnk_spw,2021,geo
NF15,6167,2676.303721339365,0.4339717401231336,0.3172360298524166,0.7571475199657232,sf,chnk_spw,2021,geo
NF16,6239,2813.4864651777766,0.4509515090844329,0.31994169056973865,0.7950753593509471,sf,chnk_spw,2021,geo
NF17,5667,2724.8930047507483,0.4808351870038377,0.3337167535774119,0.8431859503394721,sf,chnk_spw,2021,geo
NF18,5392,2602.417686275673,0.48264422965053283,0.3729504038473972,0.7922949381507448,sf,chnk_spw,2021,geo
NF19,1734,853.7502629853944,0.49235885985316863,0.3594219646625452,0.821289827551882,sf,chnk_spw,2021,geo
NF2,8098,5134.864215140468,0.6340904192566644,0.5116704716093365,0.9051059705684777,sf,chnk_spw,2021,geo
NF3,7047,4360.786009016226,0.6188145322855436,0.47654454624029324,0.9296745581885062,sf,chnk_spw,2021,geo
NF4,7193,4381.5656962330595,0.6091430135177338,0.4705036284046976,0.9178643331242698,sf,chnk_spw,2021,geo
NF5,6647,3704.530912948756,0.5573237419811579,0.4437414677943181,0.8434973792568824,sf,chnk_spw,2021,geo
NF6,9031,4859.402111753922,0.5380801806836366,0.41898020222215815,0.8262455404396506,sf,chnk_spw,2021,geo
NF7,8039,3981.206143941344,0.49523649010341386,0.3715760386211093,0.7960579805445229,sf,chnk_spw,2021,geo
NF8,7734,3805.738526283203,0.4920789405589867,0.39693552657729864,0.746605026954256,sf,chnk_spw,2021,geo
NF9,7800,3996.5255704488336,0.5123750731344658,0.429169466430664,0.7766983443012642,sf,chnk_spw,2021,geo
SF1,169985,118657.99886419484,0.6980498212441971,0.6918654819513593,0.8434941555343238,sf,chnk_spw,2021,geo
SF10,18766,12633.821347668301,0.6732293161924918,0.660585381075247,0.8180635096461115,sf,chnk_spw,2021,geo
SF11,13736,9933.148447381333,0.7231470913935157,0.7122663642135594,0.866119077361717,sf,chnk_spw,2021,geo
SF12,13198,10312.189320462523,0.7813448492546237,0.7389973335748041,0.9273145000523366,sf,chnk_spw,2021,geo
SF13,13101,9916.317406802438,0.75691301479295,0.7253578823558718,0.9132101662435437,sf,chnk_spw,2021,geo
SF14,11770,9197.916551118717,0.7814712447849377,0.7537200375567651,0.9145345909226632,sf,chnk_spw,2021,geo
SF15,13724,10055.668873065151,0.7327068546389647,0.6763814122107834,0.9088994530460511,sf,chnk_spw,2021,geo
SF16,11996,8983.027692221105,0.7488352527693486,0.7042195876438934,0.910967694315367,sf,chnk_spw,2021,geo
SF17,13468,9510.740977684036,0.7061732237662635,0.6522467624432252,0.8929088691583827,sf,chnk_spw,2021,geo
SF18,14116,9309.372898641974,0.6594908542534694,0.6392294700048249,0.8383960400563797,sf,chnk_spw,2021,geo
SF19,14079,10076.190998689272,0.7156893954605633,0.6673277381994596,0.8893580775784711,sf,chnk_spw,2021,geo
SF2,100863,69586.92520186794,0.689915283125308,0.6668024828098895,0.8579692275696257,sf,chnk_spw,2021,geo
SF20,14239,9573.847920220345,0.672367997768126,0.6465670551129571,0.8388208702403984,sf,chnk_spw,2021,geo
SF21,12814,8619.19093230879,0.6726385931253933,0.6485999970051327,0.8339943079722353,sf,chnk_spw,2021,geo
SF22,14935,8822.764710543212,0.5907442055937872,0.5794986063069436,0.7774376913523042,sf,chnk_spw,2021,geo
SF23,12660,8335.725637312979,0.6584301451274075,0.6013288094039938,0.8623963777715443,sf,chnk_spw,2021,geo
SF24,9643,6792.779293034226,0.7044259351896947,0.6621101312961011,0.8748832987305126,sf,chnk_spw,2021,geo
SF25,11841,8013.294667420909,0.6767413788886841,0.6343585540911908,0.8589574954725354,sf,chnk_spw,2021,geo
SF26,11465,7685.95617382112,0.6703843152046332,0.6164125476100553,0.8770331842800657,sf,chnk_spw,2021,geo
SF27,10382,6737.996891788207,0.6490075989008097,0.6124385257337319,0.8381633441832145,sf,chnk_spw,2021,geo
SF28,11931,7456.5520855207,0.6249729348353616,0.5590754267281582,0.8494088502331902,sf,chnk_spw,2021,geo
SF29,10214,6129.322723612189,0.6000903391043851,0.5556179764747069,0.8179877980620356,sf,chnk_spw,2021,geo
SF3,48544,30289.082128372043,0.6239510985574334,0.6148586398755632,0.7957479307976386,sf,chnk_spw,2021,geo
SF30,7877,5478.50950515829,0.6955071099604279,0.6200897598946751,0.9146076994192284,sf,chnk_spw,2021,geo
