ID,area_m2,WUA,HHS,d_HSI,v_HSI,watershed,scenario,year,scale
NF1,2077,1340.6045785645238,0.6454523729246624,0.49171859839948595,0.9560083811430647,sf,sthd_juv,2019,rkm
NF10,6991,3426.985236442851,0.49019957608966547,0.41982440546205196,0.7286241773923312,sf,sthd_juv,2019,rkm
NF11,7623,3732.490208897667,0.4896353415843719,0.3850913156132333,0.7650093539326072,sf,sthd_juv,2019,rkm
NF12,7379,3538.1105702009436,0.4794837471474378,0.3556025833851568,0.78688189240368,sf,sthd_juv,2019,rkm
NF13,6595,3337.4506700236457,0.5060577210043435,0.41172359911776196,0.7772799538881594,sf,sthd_juv,2019,rkm
NF14,6789,3372.862059199463,0.49681279410803697,0.35705911509128535,0.8198596330701426,sf,sthd_juv,2019,rkm
NF15,6167,2676.303721339365,0.4339717401231336,0.3172360298524166,0.7571475199657232,sf,sthd_juv,2019,rkm
NF16,6239,2813.4864651777766,0.4509515090844329,0.31994169056973865,0.7950753593509471,sf,sthd_juv,2019,rkm
NF17,5667,2724.8930047507483,0.4808351870038377,0.3337167535774119,0.8431859503394721,sf,sthd_juv,2019,rkm
NF18,5392,2602.417686275673,0.48264422965053283,0.3729504038473972,0.7922949381507448,sf,sthd_juv,2019,rkm
NF19,1734,853.7502629853944,0.49235885985316863,0.3594219646625452,0.821289827551882,sf,sthd_juv,2019,rkm
NF2,8098,5134.864215140468,0.6340904192566644,0.5116704716093365,0.9051059705684777,sf,sthd_juv,2019,rkm
NF3,7047,4360.786009016226,0.6188145322855436,0.47654454624029324,0.9296745581885062,sf,sthd_juv,2019,rkm
NF4,7193,4381.5656962330595,0.6091430135177338,0.4705036284046976,0.9178643331242698,sf,sthd_juv,2019,rkm
NF5,6647,3704.530912948756,0.5573237419811579,0.4437414677943181,0.8434973792568824,sf,sthd_juv,2019,rkm
NF6,9031,4859.402111753922,0.5380801806836366,0.41898020222215815,0.8262455404396506,sf,sthd_juv,2019,rkm
NF7,8039,3981.206143941344,0.49523649010341386,0.3715760386211093,0.7960579805445229,sf,sthd_juv,2019,rkm
NF8,7734,3805.738526283203,0.4920789405589867,0.39693552657729864,0.746605026954256,sf,sthd_juv,2019,rkm
NF9,7800,3996.5255704488336,0.5123750731344658,0.429169466430664,0.7766983443012642,sf,sthd_juv,2019,rkm
SF1,1876,1428.167988166213,0.7612835757815635,0.7814306989963751,0.8426938285122314,sf,sthd_juv,2019,rkm
SF10,18766,12911.73133294387,0.6880385448653878,0.6981993807004003,0.8038394826628342,sf,sthd_juv,2019,rkm
SF11,13736,9907.062268458307,0.721247981105002,0.7449741839754064,0.8065457333042615,sf,sthd_juv,2019,rkm
SF12,13198,10042.22586180782,0.7608899728601166,0.7667798161097937,0.8420543744294706,sf,sthd_juv,2019,rkm
SF13,13101,9904.415384060005,0.7560045327883371,0.7525799158102656,0.852283836956548,sf,sthd_juv,2019,rkm
SF14,11770,8822.877122214762,0.7496072321337947,0.7777399164424915,0.8217731389160058,sf,sthd_juv,2019,rkm
SF15,13724,9658.944852679851,0.7037995375021752,0.7142681478812924,0.8120019592819174,sf,sthd_juv,2019,rkm
SF16,11996,8538.838009104846,0.7118071031264459,0.7370807720955276,0.7960942270708828,sf,sthd_juv,2019,rkm
SF17,13468,9028.275609328703,0.6703501343427906,0.6903929806853853,0.7825180156567786,sf,sthd_juv,2019,rkm
SF18,14116,9662.732923457166,0.6845234431465831,0.6778052015220559,0.8192253064003694,sf,sthd_juv,2019,rkm
SF19,14079,9771.514641828157,0.6940489126946627,0.7023502028166635,0.8048199097594698,sf,sthd_juv,2019,rkm
SF2,15284,10231.651390274812,0.6694354481990848,0.718029234523596,0.7621890678407357,sf,sthd_juv,2019,rkm
SF20,14239,9517.876759011953,0.6684371626527111,0.6853382298327482,0.7860817626768448,sf,sthd_juv,2019,rkm
SF21,12814,8696.46653635276,0.6786691537656282,0.6873353300472602,0.8029734408758656,sf,sthd_juv,2019,rkm
SF22,14935,9175.583115091322,0.6143678014791645,0.6277257491624626,0.7636338640518475,sf,sthd_juv,2019,rkm
SF23,12660,8017.088270035863,0.6332613167484884,0.646799442179977,0.7588971281247351,sf,sthd_juv,2019,rkm
SF24,9643,6641.699202308082,0.6887586023341369,0.6980271957354537,0.8033454476403223,sf,sthd_juv,2019,rkm
SF25,11841,7746.389882433865,0.6542006487994143,0.6754702299668285,0.7705461591959049,sf,sthd_juv,2019,rkm
SF26,11465,7654.143166736467,0.6676095217388981,0.6609266347877114,0.8006994464397451,sf,sthd_juv,2019,rkm
SF27,10382,6453.722743798766,0.6216261552493514,0.6567370757068401,0.7341394975301629,sf,sthd_juv,2019,rkm
SF28,11931,7437.925922206228,0.6234117779068166,0.6107525877625593,0.7773344119930705,sf,sthd_juv,2019,rkm
SF29,10214,6160.521178049603,0.6031448186850992,0.6069437648370157,0.7607688475472498,sf,sthd_juv,2019,rkm
SF3,12099,9016.552667893178,0.7452312313326042,0.7969539593483579,0.7990310368458505,sf,sthd_juv,2019,rkm
SF30,7877,5114.83058757756,0.6493373857531497,0.6670407279351944,0.7625302675854995,sf,sthd_juv,2019,rkm
SF31,8000,5238.207104998641,0.6547758881248301,0.685475758634595,0.750058389033602,sf,sthd_juv,2019,rkm
SF32,8346,5607.165664601605,0.671838684951067,0.691753317857462,0.7760577589041611,sf,sthd_juv,2019,rkm
SF33,6035,4012.57606335124,0.6648841861393935,0.6723668868872997,0.7799229389672638,sf,sthd_juv,2019,rkm
SF4,12324,9291.363685650387,0.7539243496957471,0.7815387719196143,0.8218583550051791,sf,sthd_juv,2019,rkm
SF5,14554,10261.120803943908,0.7050378455368908,0.7314805354236964,0.805216625809285,sf,sthd_juv,2019,rkm
SF6,14076,9517.212624281718,0.6761304791333985,0.6982481073261184,0.7778441231817401,sf,sthd_juv,2019,rkm
SF7,13014,9830.808904384001,0.7554025591197173,0.7743306549242222,0.8339038498891571,sf,sthd_juv,2019,rkm
SF8,13201,9725.757382444572,0.7367439877618795,0.7608176431387829,0.8237274446642002,sf,sthd_juv,2019,rkm
SF9,14229,10590.607986397692,0.7442974198044622,0.7594106707044385,0.8335933007935773,sf,sthd_juv,2019,rkm
