"","Scenario","Watershed","Reach","Year","Area m2","WUA","HHS","Depth Suitability","Velocity Suitability","HHS_Mean"
"1","Chinook Juvenile","Mainstem","GR_01_MS",2021,202666,102092,0.5,0.38,0.89,0.463333333333333
"2","Chinook Spawning","Mainstem","GR_01_MS",2021,202666,42775,0.21,0.68,0.17,0.463333333333333
"3","Steelhead Juvenile","Mainstem","GR_01_MS",2021,202666,138820,0.68,0.72,0.76,0.463333333333333
"4","Chinook Juvenile","Mainstem","GR_02_MS",2021,149558,75593,0.51,0.36,0.94,0.383333333333333
"5","Chinook Spawning","Mainstem","GR_02_MS",2021,149558,11724,0.08,0.64,0.06,0.383333333333333
"6","Steelhead Juvenile","Mainstem","GR_02_MS",2021,149558,83703,0.56,0.69,0.6,0.383333333333333
"7","Chinook Juvenile","Mainstem","GR_03_MS",2021,61472,22792,0.37,0.25,0.82,0.456666666666667
"8","Chinook Spawning","Mainstem","GR_03_MS",2021,61472,20246,0.33,0.56,0.31,0.456666666666667
"9","Steelhead Juvenile","Mainstem","GR_03_MS",2021,61472,40957,0.67,0.61,0.85,0.456666666666667
"10","Chinook Juvenile","Mainstem","GR_04_MS",2021,70396,15928,0.23,0.35,0.37,0.546666666666667
"11","Chinook Spawning","Mainstem","GR_04_MS",2021,70396,48937,0.7,0.71,0.78,0.546666666666667
"12","Steelhead Juvenile","Mainstem","GR_04_MS",2021,70396,49886,0.71,0.74,0.8,0.546666666666667
"13","Chinook Juvenile","Mainstem","GR_05_MS",2021,93833,14878,0.16,0.35,0.31,0.483333333333333
"14","Chinook Spawning","Mainstem","GR_05_MS",2021,93833,61885,0.66,0.67,0.8,0.483333333333333
"15","Steelhead Juvenile","Mainstem","GR_05_MS",2021,93833,59300,0.63,0.7,0.73,0.483333333333333
"16","Chinook Juvenile","North Fork","GR_01_NF",2021,43771,11001,0.25,0.14,0.75,0.403333333333333
"17","Chinook Spawning","North Fork","GR_01_NF",2021,43771,15545,0.36,0.4,0.45,0.403333333333333
"18","Steelhead Juvenile","North Fork","GR_01_NF",2021,43771,26303,0.6,0.47,0.89,0.403333333333333
"19","Chinook Juvenile","North Fork","GR_02_NF",2021,27893,7048,0.25,0.12,0.92,0.286666666666667
"20","Chinook Spawning","North Fork","GR_02_NF",2021,27893,3166,0.11,0.32,0.12,0.286666666666667
"21","Steelhead Juvenile","North Fork","GR_02_NF",2021,27893,13823,0.5,0.4,0.77,0.286666666666667
"22","Chinook Juvenile","North Fork","GR_03_NF",2021,34623,8664,0.25,0.11,0.94,0.273333333333333
"23","Chinook Spawning","North Fork","GR_03_NF",2021,34623,2858,0.08,0.3,0.08,0.273333333333333
"24","Steelhead Juvenile","North Fork","GR_03_NF",2021,34623,16939,0.49,0.38,0.77,0.273333333333333
"25","Chinook Juvenile","North Fork","GR_04_NF",2021,24411,5508,0.23,0.09,0.94,0.25
"26","Chinook Spawning","North Fork","GR_04_NF",2021,24411,1440,0.06,0.26,0.08,0.25
"27","Steelhead Juvenile","North Fork","GR_04_NF",2021,24411,11308,0.46,0.34,0.8,0.25
"28","Chinook Juvenile","North Fork","GR_05_NF",2021,159,51,0.32,0.15,0.94,0.33
"29","Chinook Spawning","North Fork","GR_05_NF",2021,159,14,0.09,0.42,0.11,0.33
"30","Steelhead Juvenile","North Fork","GR_05_NF",2021,159,92,0.58,0.5,0.78,0.33
"31","Chinook Juvenile","South Fork","GR_01_SF",2021,182242,15696,0.09,0.35,0.19,0.5
"32","Chinook Spawning","South Fork","GR_01_SF",2021,182242,127498,0.7,0.69,0.85,0.5
"33","Steelhead Juvenile","South Fork","GR_01_SF",2021,182242,128767,0.71,0.72,0.81,0.5
"34","Chinook Juvenile","South Fork","GR_02_SF",2021,100783,10683,0.11,0.32,0.21,0.496666666666667
"35","Chinook Spawning","South Fork","GR_02_SF",2021,100783,69530,0.69,0.67,0.86,0.496666666666667
"36","Steelhead Juvenile","South Fork","GR_02_SF",2021,100783,69456,0.69,0.7,0.81,0.496666666666667
"37","Chinook Juvenile","South Fork","GR_03_SF",2021,48544,7207,0.15,0.29,0.3,0.47
"38","Chinook Spawning","South Fork","GR_03_SF",2021,48544,30289,0.62,0.61,0.8,0.47
"39","Steelhead Juvenile","South Fork","GR_03_SF",2021,48544,30907,0.64,0.66,0.76,0.47
"40","Chinook Juvenile","South Fork","GR_04_SF",2021,46654,6918,0.15,0.26,0.3,0.466666666666667
"41","Chinook Spawning","South Fork","GR_04_SF",2021,46654,28789,0.62,0.58,0.82,0.466666666666667
"42","Steelhead Juvenile","South Fork","GR_04_SF",2021,46654,29315,0.63,0.63,0.78,0.466666666666667
"43","Chinook Juvenile","South Fork","GR_05_SF",2021,35644,5094,0.14,0.28,0.23,0.493333333333333
"44","Chinook Spawning","South Fork","GR_05_SF",2021,35644,24259,0.68,0.62,0.89,0.493333333333333
"45","Steelhead Juvenile","South Fork","GR_05_SF",2021,35644,23363,0.66,0.67,0.78,0.493333333333333
